謝嚴中丞送青城山道士乳酒一甁 // 2568,3.772,PDF
戲贈友二首 // 2591,3.772,PDF
嚴公仲夏枉駕草堂兼攜酒饌得寒字 // 2582,3.774,PDF
嚴公廳宴同詠蜀道畫圖 // 2588,3.775,PDF
奉送嚴公入朝十韻 // 2603,3.776,PDF
送嚴侍郎到綿州同登杜使君江樓宴 // 2608,3.778,PDF
奉濟驛重送嚴公四韻 // 2613,3.780,PDF
巴西驛亭觀江漲呈竇使君 // 2823-1,3.781,PDF
又呈竇使君二首 // 2828-1,3.782,PDF
海棕行 // 2631,3.782,PDF
越王樓歌 // 2628,3.783,PDF
姜楚公畫角鷹歌 // 2633,3.784,PDF
觀打魚歌 // 2621,3.785,PDF
又觀打魚 // 2624,3.787,PDF
相從行贈嚴二別駕時方經崔旰之亂 // 2685,3.791,PDF
九日登梓州城 // 2667,3.793,PDF
九日奉寄嚴大夫 // 2670,3.794,PDF
宗武生日 // 2647,3.795,PDF
嚴氏溪放歌 // 2945,3.797,PDF
秋盡 // 2690,3.799,PDF
吹笛 // 1568,3.800,PDF
野望 // 2694,3.801,PDF
冬到金華山觀因得故拾遺陳公學堂 // 2698,3.802,PDF
陳拾遺故宅 // 2703,3.804,PDF
謁文公上方 // 2707,3.806,PDF
奉贈射洪李四丈 // 2713,3.809,PDF
早發射洪縣南途中作 // 2716,3.811,PDF
通泉驛南去通泉縣十五里山水作 // 2720,3.812,PDF
過郭代公故宅 // 2723,3.814,PDF
觀薛稷少保書畫壁 // 2728,3.816,PDF
通泉縣署屋壁後薛少保畫鶴 // 2733,3.818,PDF
陪王侍御同登東山最高頂宴姚通泉晚攜酒泛江 // 2739,3.820,PDF
漁陽 // 2743,3.822,PDF
黄河二首 // 3197,3.823,PDF
中夜 // 3933,3.824,PDF
春日戲題惱郝使君兄 // 2759,3.825,PDF
絶句 // 2539,3.826,PDF
郪城西原送李判官兄武判官弟赴成都 // 2769,3.827,PDF
聞官軍收河南河北 // 2747,3.827,PDF
春日梓州登樓二首 // 2755,3.828,PDF
